dtype,device,shape,m,k,n,real_time_ns,latency_ms,items_per_second,gops
float32,amx,batch=1,1,1,784,1326426.980086,1.326427,753.934596,0.000001
float32,cpu,batch=1,1,1,784,79740040.935576,79.740041,12.540757,0.000000
float32,neon,batch=1,1,1,784,66461249.953136,66.461250,15.048230,0.000000
float32,amx,batch=5,5,1,784,6501875.002868,6.501875,768.994156,0.000001
float32,cpu,batch=5,5,1,784,409745250.130072,409.745250,12.449889,0.000000
float32,neon,batch=5,5,1,784,334673417.033628,334.673417,14.940938,0.000000
float32,amx,batch=10,10,1,784,13047832.995653,13.047833,766.400981,0.000001
float32,cpu,batch=10,10,1,784,792383915.977553,792.383916,12.633680,0.000000
float32,neon,batch=10,10,1,784,672088792.081922,672.088792,14.880532,0.000000
float32,amx,128x128 * 128x128,128,128,128,19310.533404,0.019311,108609147148.434860,108.609147
float32,cpu,128x128 * 128x128,128,128,128,479925417.108461,479.925417,4375639.241444,0.004376
float32,amx,128x256 * 256x64,128,256,64,12969.868516,0.012970,161699447419.154083,161.699447
float32,cpu,128x256 * 256x64,128,256,64,489530625.054613,489.530625,4291251.964379,0.004291
float32,amx,256x256 * 256x256,256,256,256,70457.700120,0.070458,238120428818.468506,238.120429
float32,cpu,256x256 * 256x256,256,256,256,3858434249.879792,3858.434250,4355146.077356,0.004355
float64,amx,128x128 * 128x128,128,128,128,29654.737112,0.029655,70823144465.295731,70.823144
float64,cpu,128x128 * 128x128,128,128,128,489205040.968955,489.205041,4290918.316822,0.004291
float64,amx,128x256 * 256x64,128,256,64,22456.944654,0.022457,93404436903.504852,93.404437
float64,cpu,128x256 * 256x64,128,256,64,497260333.038867,497.260333,4246054.917332,0.004246
float64,amx,256x256 * 256x256,256,256,256,148846.324713,0.148846,113088431398.127716,113.088431
float64,cpu,256x256 * 256x256,256,256,256,3973272167.146206,3973.272167,4263788.834745,0.004264
